education,gender,agree,disagree,total,agree50
0,Male,4,2,6,TRUE
1,Male,2,0,2,TRUE
2,Male,4,0,4,TRUE
3,Male,6,3,9,TRUE
4,Male,5,5,10,TRUE
5,Male,13,7,20,TRUE
6,Male,25,9,34,TRUE
7,Male,27,15,42,TRUE
8,Male,75,49,124,TRUE
9,Male,29,29,58,TRUE
10,Male,32,45,77,FALSE
11,Male,36,59,95,FALSE
12,Male,115,245,360,FALSE
13,Male,31,70,101,FALSE
14,Male,28,79,107,FALSE
15,Male,9,23,32,FALSE
16,Male,15,110,125,FALSE
17,Male,3,29,32,FALSE
18,Male,1,28,29,FALSE
19,Male,2,13,15,FALSE
20,Male,3,20,23,FALSE
0,Female,4,2,6,TRUE
1,Female,1,0,1,TRUE
2,Female,0,0,0,NA
3,Female,6,1,7,TRUE
4,Female,10,0,10,TRUE
5,Female,14,7,21,TRUE
6,Female,17,5,22,TRUE
7,Female,26,16,42,TRUE
8,Female,91,36,127,TRUE
9,Female,30,35,65,FALSE
10,Female,55,67,122,FALSE
11,Female,50,62,112,FALSE
12,Female,190,403,593,FALSE
13,Female,17,92,109,FALSE
14,Female,18,81,99,FALSE
15,Female,7,34,41,FALSE
16,Female,13,115,128,FALSE
17,Female,3,28,31,FALSE
18,Female,0,21,21,FALSE
19,Female,1,2,3,FALSE
20,Female,2,4,6,FALSE
